;index;T_amb_°C;HL_kW
0;7488;2.4;3.9464162384
900;7489;2.4;4.018563904
1800;7490;2.4;4.090711568
2700;7491;2.4;4.1628592336
3600;7492;3;4.2350068992
4500;7493;3;4.3641659552
5400;7494;3;4.4933250128
6300;7495;3;4.6224840704
7200;7496;1.6;4.7516431264
8100;7497;1.6;4.8787366192
9000;7498;1.6;5.0058301136
9900;7499;1.6;5.1329236064
10800;7500;0.3;5.2600170992
11700;7501;0.3;5.353542448
12600;7502;0.3;5.4470677968
13500;7503;0.3;5.9233931472
14400;7504;-0.2;5.69974135314286
15300;7505;-0.2;6.3801635232
16200;7506;-0.2;7.126208552
17100;7507;-0.2;8.15661929508571
18000;7508;0.9;8.6182986096
18900;7509;0.9;9.03922974811429
19800;7510;0.9;8.4976923168
20700;7511;0.9;8.4373891712
21600;7512;0.5;9.04425173828571
22500;7513;0.5;10.7830690388571
23400;7514;0.5;10.3344577664
24300;7515;0.5;9.64522935108571
25200;7516;0.1;10.7168809357714
26100;7517;0.1;10.7086883238857
27000;7518;0.1;9.42084999771429
27900;7519;0.1;8.58143453028571
28800;7520;0.3;7.7310819184
29700;7521;0.3;7.72100574902857
30600;7522;0.3;7.4703124352
31500;7523;0.3;7.3399276944
32400;7524;0.3;7.2095429536
33300;7525;0.3;7.27245523931429
34200;7526;0.3;6.8322589536
35100;7527;0.3;6.96079409645714
36000;7528;1.1;7.16588923931429
36900;7529;1.1;6.2064832384
37800;7530;1.1;5.9579915232
38700;7531;1.1;5.709499808
39600;7532;2.4;5.4610080928
40500;7533;2.4;5.284897488
41400;7534;2.4;5.1087868832
42300;7535;2.4;4.9326762784
43200;7536;4;4.7565656736
44100;7537;4;4.4484616112
45000;7538;4;4.23879183611429
45900;7539;4;3.8322534896
46800;7540;5.5;3.5241494272
47700;7541;5.5;3.587181048
48600;7542;5.5;2.8846126672
49500;7543;5.5;2.5648442864
50400;7544;6.5;3.42628733577143
51300;7545;6.5;2.30507280777143
52200;7546;6.5;1.99320685072
53100;7547;6.5;1.40791232256
54000;7548;7.8;1.56634350868571
54900;7549;7.8;0.966951917188572
55800;7550;7.8;0.71754889712
56700;7551;7.8;0.850945877211429
57600;7552;8.5;0
58500;7553;8.5;0.22968
59400;7554;8.5;0
60300;7555;8.5;0
61200;7556;8.1;0
62100;7557;8.1;0
63000;7558;8.1;0.284365714285714
63900;7559;8.1;0
64800;7560;7.5;0
65700;7561;7.5;0.656006018765714
66600;7562;7.5;0.59016060912
67500;7563;7.5;0.8852409136
68400;7564;5.5;1.36625264665143
69300;7565;5.5;1.69476882009143
70200;7566;5.5;1.89203927908572
71100;7567;5.5;2.7783497376
72000;7568;3;2.68031734057143
72900;7569;3;2.7590568816
73800;7570;3;3.0237278496
74700;7571;3;3.81338167634286
75600;7572;1.6;3.5530697888
76500;7573;1.6;3.0183780352
77400;7574;1.6;2.4836862816
78300;7575;1.6;2.561474528
79200;7576;1.2;1.72054277392
80100;7577;1.2;1.7196239168
81000;7578;1.2;2.0249450592
81900;7579;1.2;2.3302662032
82800;7580;0.1;2.6355873456
83700;7581;0.1;2.8735299648
84600;7582;0.1;3.1114725856
85500;7583;0.1;3.3494152048
86400;7584;-0.4;3.5873578256
