;index;T_amb_°C;HL_kW
0;7488;2.4;0.34659817512
900;7489;2.4;0.45042793608
1800;7490;2.4;0.5542576968
2700;7491;2.4;0.688164600617143
3600;7492;3;0.76191721872
4500;7493;3;0.90487770672
5400;7494;3;1.04783819496
6300;7495;3;1.1907986832
7200;7496;1.6;1.33375917144
8100;7497;1.6;1.46826618576
9000;7498;1.6;1.60277320008
9900;7499;1.6;1.7372802144
10800;7500;0.3;1.87178722872
11700;7501;0.3;1.97720360736
12600;7502;0.3;2.082619986
13500;7503;0.3;2.18803636464
14400;7504;-0.2;2.29345274328
15300;7505;-0.2;3.493146132
16200;7506;-0.2;4.69283952
17100;7507;-0.2;6.34642433657143
18000;7508;0.9;7.17152058171429
18900;7509;0.9;7.0300070184
19800;7510;0.9;7.15371916937143
20700;7511;0.9;7.24461989417143
21600;7512;0.5;6.93631490228571
22500;7513;0.5;7.26130906971429
23400;7514;0.5;6.78789181097143
24300;7515;0.5;6.90508026411429
25200;7516;0.1;8.32378871965714
26100;7517;0.1;9.88649808548571
27000;7518;0.1;9.800433168
27900;7519;0.1;8.61245110525714
28800;7520;0.3;9.46151189965714
29700;7521;0.3;9.12127302857143
30600;7522;0.3;7.58888558845714
31500;7523;0.3;7.56308957451429
32400;7524;0.3;5.65337070342857
33300;7525;0.3;5.60383778502857
34200;7526;0.3;5.80859343565714
35100;7527;0.3;5.10009766011429
36000;7528;1.1;5.02322188217143
36900;7529;1.1;4.98530378022857
37800;7530;1.1;4.35131139017143
38700;7531;1.1;4.4993247144
39600;7532;2.4;4.77038089817143
40500;7533;2.4;3.3427622544
41400;7534;2.4;3.56665218205714
42300;7535;2.4;2.6202678264
43200;7536;4;2.31097203977143
44100;7537;4;1.95568418403429
45000;7538;4;1.62500489948571
45900;7539;4;1.05370847232
46800;7540;5.5;0.67107775944
47700;7541;5.5;0.606527605234286
48600;7542;5.5;0.454480308411429
49500;7543;5.5;0.305167297062857
50400;7544;6.5;0.109371428571429
51300;7545;6.5;0.486702857142857
52200;7546;6.5;0.054685714285714
53100;7547;6.5;0.065622857142857
54000;7548;7.8;1.38354857142857
54900;7549;7.8;0.585137142857143
55800;7550;7.8;0.642557142857143
56700;7551;7.8;0.34452
57600;7552;8.5;0.902314285714286
58500;7553;8.5;0.680837142857143
59400;7554;8.5;0.467562857142857
60300;7555;8.5;0.850362857142857
61200;7556;8.1;0.155854285714286
62100;7557;8.1;0.298037142857143
63000;7558;8.1;0.013671428571429
63900;7559;8.1;0
64800;7560;7.5;0.123042857142857
65700;7561;7.5;0.03828
66600;7562;7.5;0.437485714285714
67500;7563;7.5;0.041014285714286
68400;7564;5.5;0.046482857142857
69300;7565;5.5;0.42108
70200;7566;5.5;0.090231428571429
71100;7567;5.5;0.079294285714286
72000;7568;3;0.281631428571428
72900;7569;3;0.185931428571429
73800;7570;3;0.112105714285714
74700;7571;3;0.664431428571429
75600;7572;1.6;0.360925714285714
76500;7573;1.6;0.317177142857143
77400;7574;1.6;0.202337142857143
78300;7575;1.6;0.527717142857143
79200;7576;1.2;0.527717142857143
80100;7577;1.2;0.024608571428572
81000;7578;1.2;0
81900;7579;1.2;0.61248
82800;7580;0.1;0.30624
83700;7581;0.1;0
84600;7582;0.1;0
85500;7583;0.1;0
86400;7584;-0.4;0
