;index;T_amb_°C;HL_kW
0;7488;2.4;5.9196243576
900;7489;2.4;6.027845856
1800;7490;2.4;6.136067352
2700;7491;2.4;7.96142027897143
3600;7492;3;6.3525103488
4500;7493;3;6.5462489328
5400;7494;3;6.7399875192
6300;7495;3;6.96380324845714
7200;7496;1.6;7.1274646896
8100;7497;1.6;7.3181049288
9000;7498;1.6;7.5087451704
9900;7499;1.6;7.6993854096
10800;7500;0.3;7.8900256488
11700;7501;0.3;8.030313672
12600;7502;0.3;8.1706016952
13500;7503;0.3;8.3108897208
14400;7504;-0.2;8.451177744
15300;7505;-0.2;9.5702452848
16200;7506;-0.2;10.689312828
17100;7507;-0.2;11.8083803712
18000;7508;0.9;12.9274479144
18900;7509;0.9;12.8369931936
19800;7510;0.9;12.7465384752
20700;7511;0.9;13.1099751853714
21600;7512;0.5;12.6449233217143
22500;7513;0.5;12.483317844
23400;7514;0.5;12.5869380781714
24300;7515;0.5;12.6577468837714
25200;7516;0.1;12.3293499750857
26100;7517;0.1;12.5576782001143
27000;7518;0.1;11.9875949965714
27900;7519;0.1;12.0081175097143
28800;7520;0.3;13.3301600204571
29700;7521;0.3;14.8052314806857
30600;7522;0.3;14.6315286528
31500;7523;0.3;13.3559086844571
32400;7524;0.3;14.1173315732571
33300;7525;0.3;13.6265628589714
34200;7526;0.3;11.9436455732571
35100;7527;0.3;11.7673197161143
36000;7528;1.1;9.70707100182857
36900;7529;1.1;9.46831342902857
37800;7530;1.1;9.48384442765714
38700;7531;1.1;8.58612399771429
39600;7532;2.4;8.32002356777143
40500;7533;2.4;8.31561480342857
41400;7534;2.4;7.71513175337143
42300;7535;2.4;7.8966544176
43200;7536;4;8.20121993897143
44100;7537;4;6.6726924168
45000;7538;4;6.79567346845714
45900;7539;4;5.7483802344
46800;7540;5.5;5.33817556937143
47700;7541;5.5;4.90500585771429
48600;7542;5.5;4.49644471508572
49500;7543;5.5;3.8472664296
50400;7544;6.5;3.3867538608
51300;7545;6.5;2.95176635451429
52200;7546;6.5;2.42928170465143
53100;7547;6.5;1.90953134098286
54000;7548;7.8;1.34329812017143
54900;7549;7.8;1.41214787578286
55800;7550;7.8;0.671649059965714
56700;7551;7.8;0.374104530102857
57600;7552;8.5;1.38354857142857
58500;7553;8.5;0.585137142857143
59400;7554;8.5;0.642557142857143
60300;7555;8.5;0.34452
61200;7556;8.1;0.902314285714286
62100;7557;8.1;0.680837142857143
63000;7558;8.1;0.467562857142857
63900;7559;8.1;0.850362857142857
64800;7560;7.5;0.155854285714286
65700;7561;7.5;0.740657599577143
66600;7562;7.5;0.898912342251429
67500;7563;7.5;1.3278613704
68400;7564;5.5;1.89352468426286
69300;7565;5.5;2.30153608728
70200;7566;5.5;3.19351606148571
71100;7567;5.5;3.28981889211428
72000;7568;3;3.78806172514286
72900;7569;3;4.5596653224
73800;7570;3;4.62582320297143
74700;7571;3;5.01189251451429
75600;7572;1.6;5.61123611177143
76500;7573;1.6;4.71349848137143
77400;7574;1.6;3.83763513668571
78300;7575;1.6;3.58792322057143
79200;7576;1.2;2.48237987516571
80100;7577;1.2;2.89661301805714
81000;7578;1.2;3.23975473165714
81900;7579;1.2;4.02311644765714
82800;7580;0.1;4.48109816125714
83700;7581;0.1;4.33490351862857
84600;7582;0.1;4.6672088784
85500;7583;0.1;5.6366028072
86400;7584;-0.4;5.6872767384
