;index;T_amb_°C;HL_kW
0;7488;2.4;5.94970150045714
900;7489;2.4;6.027845856
1800;7490;2.4;6.136067352
2700;7491;2.4;6.2442888504
3600;7492;3;6.3525103488
4500;7493;3;6.5462489328
5400;7494;3;6.7399875192
6300;7495;3;6.9337261056
7200;7496;1.6;7.1274646896
8100;7497;1.6;7.3181049288
9000;7498;1.6;7.5087451704
9900;7499;1.6;7.6993854096
10800;7500;0.3;7.8900256488
11700;7501;0.3;8.030313672
12600;7502;0.3;8.1706016952
13500;7503;0.3;8.3108897208
14400;7504;-0.2;8.90506917257143
15300;7505;-0.2;9.64953957051429
16200;7506;-0.2;10.689312828
17100;7507;-0.2;11.9943117997714
18000;7508;0.9;13.2664993429714
18900;7509;0.9;12.9299589078857
19800;7510;0.9;13.2277727609143
20700;7511;0.9;12.7271751853714
21600;7512;0.5;12.8171833217143
22500;7513;0.5;14.2168549868571
23400;7514;0.5;15.8051923638857
24300;7515;0.5;15.7447554552
25200;7516;0.1;14.5824014036571
26100;7517;0.1;15.3794610572571
27000;7518;0.1;15.0117149965714
27900;7519;0.1;13.4518203668571
28800;7520;0.3;13.3985171633143
29700;7521;0.3;11.4256543378286
30600;7522;0.3;11.3640572242286
31500;7523;0.3;11.5567486844571
32400;7524;0.3;10.8361887161143
33300;7525;0.3;10.6598628589714
34200;7526;0.3;10.6366570018286
35100;7527;0.3;10.0173768589714
36000;7528;1.1;10.1801024304
36900;7529;1.1;10.3760962861714
37800;7530;1.1;8.9369872848
38700;7531;1.1;9.14938685485715
39600;7532;2.4;8.1915121392
40500;7533;2.4;7.97929766057143
41400;7534;2.4;7.76161461051429
42300;7535;2.4;7.56854013188571
43200;7536;4;7.1348485104
44100;7537;4;6.6918324168
45000;7538;4;6.32811061131429
45900;7539;4;5.87689166297143
46800;7540;5.5;5.42840699794286
47700;7541;5.5;4.91594300057143
48600;7542;5.5;4.81362185794286
49500;7543;5.5;3.90195214388571
50400;7544;6.5;3.43323671794286
51300;7545;6.5;4.21774064022857
52200;7546;6.5;2.88590741893714
53100;7547;6.5;2.40990562669714
54000;7548;7.8;1.5784466916
54900;7549;7.8;1.82775930435429
55800;7550;7.8;1.29780048853714
56700;7551;7.8;0.776044530102857
57600;7552;8.5;0.850362857142857
58500;7553;8.5;0.155854285714286
59400;7554;8.5;0.298037142857143
60300;7555;8.5;0.013671428571429
61200;7556;8.1;0
62100;7557;8.1;0.123042857142857
63000;7558;8.1;0.03828
63900;7559;8.1;0.437485714285714
64800;7560;7.5;0.041014285714286
65700;7561;7.5;0.489103313862857
66600;7562;7.5;1.30632091368
67500;7563;7.5;1.41809279897143
68400;7564;5.5;1.84977611283429
69300;7565;5.5;2.54488751585143
70200;7566;5.5;2.94196177577143
71100;7567;5.5;3.36091032068571
72000;7568;3;4.40601029657143
72900;7569;3;4.49951103668571
73800;7570;3;4.85276891725714
74700;7571;3;5.13493537165714
75600;7572;1.6;5.85732182605714
76500;7573;1.6;5.05528419565714
77400;7574;1.6;3.75013799382857
78300;7575;1.6;2.923491792
79200;7576;1.2;2.73393416088
80100;7577;1.2;2.8856758752
81000;7578;1.2;3.0374175888
81900;7579;1.2;3.4953993048
82800;7580;0.1;3.9533810184
83700;7581;0.1;4.3102949472
84600;7582;0.1;4.6672088784
85500;7583;0.1;5.0241228072
86400;7584;-0.4;5.3810367384
