;index;T_amb_°C;HL_kW
0;7488;2.4;3.779336136
900;7489;2.4;3.8973453264
1800;7490;2.4;5.73248594777143
2700;7491;2.4;4.1333637096
3600;7492;3;4.2513729024
4500;7493;3;4.425726504
5400;7494;3;4.63015725085714
6300;7495;3;4.7744337096
7200;7496;1.6;4.9487873112
8100;7497;1.6;5.1099774312
9000;7498;1.6;5.2711675488
9900;7499;1.6;5.4323576664
10800;7500;0.3;5.593547784
11700;7501;0.3;5.7044715864
12600;7502;0.3;5.8153953864
13500;7503;0.3;5.9263191888
14400;7504;-0.2;6.0372429912
15300;7505;-0.2;7.0875838224
16200;7506;-0.2;8.137924656
17100;7507;-0.2;9.1882654872
18000;7508;0.9;10.2386063184
18900;7509;0.9;10.0539633408
19800;7510;0.9;10.3232117893714
20700;7511;0.9;9.76397166891429
21600;7512;0.5;9.5000344056
22500;7513;0.5;9.54318995177143
23400;7514;0.5;9.55353406937143
24300;7515;0.5;9.16467247508571
25200;7516;0.1;9.41016516411429
26100;7517;0.1;8.80648791977143
27000;7518;0.1;8.79341638971429
27900;7519;0.1;10.0818648572571
28800;7520;0.3;11.5589790414857
29700;7521;0.3;11.3607068088
30600;7522;0.3;10.0605174332571
31500;7523;0.3;10.7973709148571
32400;7524;0.3;10.3694186821714
33300;7525;0.3;8.67451041325714
34200;7526;0.3;8.48619357291429
35100;7527;0.3;6.41395387302857
36000;7528;1.1;6.25297988982857
36900;7529;1.1;6.14518056445714
37800;7530;1.1;5.12412981051429
38700;7531;1.1;4.73469905657143
39600;7532;2.4;4.49838830262857
40500;7533;2.4;3.52251598217143
41400;7534;2.4;3.328649376
42300;7535;2.4;3.25782562793143
43200;7536;4;1.55189902224
44100;7537;4;1.74906140965714
45000;7538;4;0.77594951112
45900;7539;4;0.439926184251428
46800;7540;5.5;0.098434285714286
47700;7541;5.5;0.169525714285714
48600;7542;5.5;0
49500;7543;5.5;0.01914
50400;7544;6.5;0.117574285714286
51300;7545;6.5;0.128511428571429
52200;7546;6.5;0.142182857142857
53100;7547;6.5;0.109371428571429
54000;7548;7.8;0.486702857142857
54900;7549;7.8;0.054685714285714
55800;7550;7.8;0.065622857142857
56700;7551;7.8;1.38354857142857
57600;7552;8.5;0.585137142857143
58500;7553;8.5;0.642557142857143
59400;7554;8.5;0.34452
60300;7555;8.5;0.902314285714286
61200;7556;8.1;0.680837142857143
62100;7557;8.1;0.467562857142857
63000;7558;8.1;0.850362857142857
63900;7559;8.1;0.155854285714286
64800;7560;7.5;0.298037142857143
65700;7561;7.5;0.013671428571429
66600;7562;7.5;0
67500;7563;7.5;0.123042857142857
68400;7564;5.5;0.03828
69300;7565;5.5;0.437485714285714
70200;7566;5.5;0.041014285714286
71100;7567;5.5;0.046482857142857
72000;7568;3;0.42108
72900;7569;3;0.550753754331429
73800;7570;3;1.00033893747429
74700;7571;3;1.66319840609143
75600;7572;1.6;2.02802073209143
76500;7573;1.6;1.49367269180572
77400;7574;1.6;1.58547608033143
78300;7575;1.6;0.821448040045714
79200;7576;1.2;0.317177142857143
80100;7577;1.2;0.542405679977143
81000;7578;1.2;1.20785421709714
81900;7579;1.2;1.54792275397714
82800;7580;0.1;1.38488271966857
83700;7581;0.1;1.78005381792
84600;7582;0.1;2.81231348784
85500;7583;0.1;2.9258531568
86400;7584;-0.4;3.0393928272
