;index;T_amb_°C;HL_kW
0;7488;2.4;5.9196243576
900;7489;2.4;6.05792299885714
1800;7490;2.4;6.136067352
2700;7491;2.4;6.2442888504
3600;7492;3;6.3525103488
4500;7493;3;6.5462489328
5400;7494;3;6.7399875192
6300;7495;3;6.9337261056
7200;7496;1.6;7.1274646896
8100;7497;1.6;7.3181049288
9000;7498;1.6;7.5087451704
9900;7499;1.6;7.6993854096
10800;7500;0.3;7.8900256488
11700;7501;0.3;8.030313672
12600;7502;0.3;8.1706016952
13500;7503;0.3;8.3108897208
14400;7504;-0.2;8.451177744
15300;7505;-0.2;10.0241367133714
16200;7506;-0.2;10.7686071137143
17100;7507;-0.2;11.8083803712
18000;7508;0.9;13.1133793429714
18900;7509;0.9;13.1760446221714
19800;7510;0.9;12.8395041894857
20700;7511;0.9;13.1373180425143
21600;7512;0.5;12.6367204645714
22500;7513;0.5;12.7348721297143
23400;7514;0.5;14.1345437924571
24300;7515;0.5;15.7228811694857
25200;7516;0.1;15.6624442608
26100;7517;0.1;14.4224610572571
27000;7518;0.1;15.2195207108571
27900;7519;0.1;14.8517746525714
28800;7520;0.3;13.2918800204571
29700;7521;0.3;13.2029400521143
30600;7522;0.3;11.2300772242286
31500;7523;0.3;11.1684801130286
32400;7524;0.3;11.3611715732571
33300;7525;0.3;10.5532257161143
34200;7526;0.3;10.3768998589714
35100;7527;0.3;10.3536940018286
36000;7528;1.1;9.73441385897143
36900;7529;1.1;9.8073648576
37800;7530;1.1;10.0033587133714
38700;7531;1.1;8.564249712
39600;7532;2.4;8.77664928205715
40500;7533;2.4;7.927346232
41400;7534;2.4;7.71513175337143
42300;7535;2.4;7.49744870331429
43200;7536;4;7.30437422468571
44100;7537;4;6.6726924168
45000;7538;4;6.2296763256
45900;7539;4;5.86595452011429
46800;7540;5.5;5.41473556937143
47700;7541;5.5;4.94875442914286
48600;7542;5.5;4.43629042937143
49500;7543;5.5;4.33396928674286
50400;7544;6.5;3.42229957508571
51300;7545;6.5;2.89981492594286
52200;7546;6.5;3.68431884750857
53100;7547;6.5;2.35248562669714
54000;7548;7.8;1.87648383445714
54900;7549;7.8;1.26996501864
55800;7550;7.8;1.51927763139429
56700;7551;7.8;0.989318815817143
57600;7552;8.5;0.467562857142857
58500;7553;8.5;0.850362857142857
59400;7554;8.5;0.155854285714286
60300;7555;8.5;0.298037142857143
61200;7556;8.1;0.013671428571429
62100;7557;8.1;0
63000;7558;8.1;0.123042857142857
63900;7559;8.1;0.03828
64800;7560;7.5;0.437485714285714
65700;7561;7.5;0.483634742434286
66600;7562;7.5;0.931723770822857
67500;7563;7.5;1.7489413704
68400;7564;5.5;1.86071325569143
69300;7565;5.5;2.34255037299429
70200;7566;5.5;3.03766177577143
71100;7567;5.5;3.43473603497143
72000;7568;3;3.85368458228571
72900;7569;3;4.80301675097143
73800;7570;3;4.89651748868571
74700;7571;3;5.24977537165714
75600;7572;1.6;5.53194182605714
76500;7573;1.6;5.05528419565714
77400;7574;1.6;4.25324656525714
78300;7575;1.6;2.94810036342857
79200;7576;1.2;2.12145416088
80100;7577;1.2;3.1919158752
81000;7578;1.2;3.3436575888
81900;7579;1.2;3.4953993048
82800;7580;0.1;3.9533810184
83700;7581;0.1;4.3102949472
84600;7582;0.1;4.6672088784
85500;7583;0.1;5.0241228072
86400;7584;-0.4;5.3810367384
