;index;T_amb_°C;HL_kW
0;7488;2.4;5.9196243576
900;7489;2.4;7.74497728457143
1800;7490;2.4;6.136067352
2700;7491;2.4;6.2442888504
3600;7492;3;6.3525103488
4500;7493;3;6.57632607565714
5400;7494;3;6.7399875192
6300;7495;3;6.9337261056
7200;7496;1.6;7.1274646896
8100;7497;1.6;7.3181049288
9000;7498;1.6;7.5087451704
9900;7499;1.6;7.6993854096
10800;7500;0.3;7.8900256488
11700;7501;0.3;8.030313672
12600;7502;0.3;8.1706016952
13500;7503;0.3;8.3108897208
14400;7504;-0.2;8.451177744
15300;7505;-0.2;9.5702452848
16200;7506;-0.2;10.689312828
17100;7507;-0.2;11.8083803712
18000;7508;0.9;12.9274479144
18900;7509;0.9;13.2908846221714
19800;7510;0.9;12.8258327609143
20700;7511;0.9;12.6560837568
21600;7512;0.5;12.7515604645714
22500;7513;0.5;12.8223692725714
23400;7514;0.5;12.4939723638857
24300;7515;0.5;12.7999297409143
25200;7516;0.1;12.3074756893714
26100;7517;0.1;12.3279982001143
27000;7518;0.1;13.6500407108571
27900;7519;0.1;15.1607489382857
28800;7520;0.3;15.0226828776
29700;7521;0.3;13.7470629092571
30600;7522;0.3;14.5084857956571
31500;7523;0.3;14.1051029701714
32400;7524;0.3;12.5095715732571
33300;7525;0.3;12.3332457161143
34200;7526;0.3;10.2729970018286
35100;7527;0.3;10.1240140018286
36000;7528;1.1;10.2293195732571
36900;7529;1.1;9.33159914331429
37800;7530;1.1;9.06549871337143
38700;7531;1.1;8.95251828342857
39600;7532;2.4;8.24346356777143
40500;7533;2.4;8.424986232
41400;7534;2.4;8.72955175337143
42300;7535;2.4;7.3990144176
43200;7536;4;7.71998565325714
44100;7537;4;6.6726924168
45000;7538;4;6.26248775417143
45900;7539;4;5.84681452011429
46800;7540;5.5;5.45574985508571
47700;7541;5.5;4.806571572
48600;7542;5.5;4.3460590008
49500;7543;5.5;3.96484071531429
50400;7544;6.5;3.49612528937143
51300;7545;6.5;2.97637492594286
52200;7546;6.5;2.41014170465143
53100;7547;6.5;2.25405134098286
54000;7548;7.8;1.28861240588571
54900;7549;7.8;0.991067875782857
55800;7550;7.8;2.00051191710857
56700;7551;7.8;0.893618815817143
57600;7552;8.5;0.642557142857143
58500;7553;8.5;0.34452
59400;7554;8.5;0.902314285714286
60300;7555;8.5;0.680837142857143
61200;7556;8.1;0.467562857142857
62100;7557;8.1;0.850362857142857
63000;7558;8.1;0.155854285714286
63900;7559;8.1;0.298037142857143
64800;7560;7.5;0.013671428571429
65700;7561;7.5;0.44262045672
66600;7562;7.5;1.00828377082286
67500;7563;7.5;1.3661413704
68400;7564;5.5;2.20796754140571
69300;7565;5.5;2.30427037299428
70200;7566;5.5;2.80251320434286
71100;7567;5.5;3.6698846064
72000;7568;3;3.83181029657143
72900;7569;3;4.21787960811429
73800;7570;3;4.81722320297143
74700;7571;3;5.11852965737143
75600;7572;1.6;5.44171039748571
76500;7573;1.6;5.19199848137143
77400;7574;1.6;4.08645513668571
78300;7575;1.6;3.24066893485714
79200;7576;1.2;2.32379130373714
80100;7577;1.2;3.10715301805714
81000;7578;1.2;3.56513473165714
81900;7579;1.2;3.52000787622857
82800;7580;0.1;3.9533810184
83700;7581;0.1;4.9227749472
84600;7582;0.1;4.9734488784
85500;7583;0.1;5.0241228072
86400;7584;-0.4;5.3810367384
