;index;T_amb_°C;HL_kW
0;7488;2.4;0
900;7489;2.4;1.71713142857143
1800;7490;2.4;0
2700;7491;2.4;0
3600;7492;3;0
4500;7493;3;0.030077142857143
5400;7494;3;0
6300;7495;3;0
7200;7496;1.6;0
8100;7497;1.6;0
9000;7498;1.6;0
9900;7499;1.6;0
10800;7500;0.3;0
11700;7501;0.3;0.10730929872
12600;7502;0.3;0.21461859744
13500;7503;0.3;0.32192789616
14400;7504;-0.2;0.42923719488
15300;7505;-0.2;1.53647196072
16200;7506;-0.2;2.643706728
17100;7507;-0.2;3.7509414936
18000;7508;0.9;4.8581762592
18900;7509;0.9;5.21509275017143
19800;7510;0.9;4.74352066971429
20700;7511;0.9;4.5672514488
21600;7512;0.5;4.65620793977143
22500;7513;0.5;4.71169620377143
23400;7514;0.5;4.36797875348571
24300;7515;0.5;4.65861558891429
25200;7516;0.1;4.15084099817143
26100;7517;0.1;4.17921496011429
27000;7518;0.1;5.50910892445714
27900;7519;0.1;7.02766860068572
28800;7520;0.3;6.8974539936
29700;7521;0.3;5.62636280125714
30600;7522;0.3;6.39231446605714
31500;7523;0.3;5.99346041657143
32400;7524;0.3;4.40245779565714
33300;7525;0.3;4.26471385851429
34200;7526;0.3;2.24304706638857
35100;7527;0.3;2.13264598782857
36000;7528;1.1;2.27653348093714
36900;7529;1.1;1.31913153915429
37800;7530;1.1;0.993349597611429
38700;7531;1.1;0.820687655828571
39600;7532;2.4;0.051951428571429
40500;7533;2.4;0.49764
41400;7534;2.4;1.06637142857143
42300;7535;2.4;0
43200;7536;4;0.585137142857143
44100;7537;4;0
45000;7538;4;0.051951428571429
45900;7539;4;0.098434285714286
46800;7540;5.5;0.169525714285714
47700;7541;5.5;0
48600;7542;5.5;0.01914
49500;7543;5.5;0.117574285714286
50400;7544;6.5;0.128511428571429
51300;7545;6.5;0.142182857142857
52200;7546;6.5;0.109371428571429
53100;7547;6.5;0.486702857142857
54000;7548;7.8;0.054685714285714
54900;7549;7.8;0.065622857142857
55800;7550;7.8;1.38354857142857
56700;7551;7.8;0.585137142857143
57600;7552;8.5;0.642557142857143
58500;7553;8.5;0.34452
59400;7554;8.5;0.902314285714286
60300;7555;8.5;0.680837142857143
61200;7556;8.1;0.467562857142857
62100;7557;8.1;0.850362857142857
63000;7558;8.1;0.155854285714286
63900;7559;8.1;0.298037142857143
64800;7560;7.5;0.013671428571429
65700;7561;7.5;0
66600;7562;7.5;0.123042857142857
67500;7563;7.5;0.03828
68400;7564;5.5;0.437485714285714
69300;7565;5.5;0.041014285714286
70200;7566;5.5;0.046482857142857
71100;7567;5.5;0.42108
72000;7568;3;0.090231428571429
72900;7569;3;0.079294285714286
73800;7570;3;0.281631428571428
74700;7571;3;0.185931428571429
75600;7572;1.6;0.112105714285714
76500;7573;1.6;0.664431428571429
77400;7574;1.6;0.360925714285714
78300;7575;1.6;0.317177142857143
79200;7576;1.2;0.202337142857143
80100;7577;1.2;0.527717142857143
81000;7578;1.2;0.527717142857143
81900;7579;1.2;0.024608571428572
82800;7580;0.1;0
83700;7581;0.1;0.61248
84600;7582;0.1;0.30624
85500;7583;0.1;0
86400;7584;-0.4;0
